movie,director,movie_year,critic,critic_country,critic_org,Bechdel_test,director_gender
Mulholland Drive,David Lynch,2001,Simon Abrams,US,Freelance film critic,pass,M
In the Mood for Love,Wong Kar-wai,2000,Simon Abrams,US,Freelance film critic,pass,M
The Tree of Life,Terrence Malick,2011,Simon Abrams,US,Freelance film critic,nopass,M
Yi Yi: A One and a Two,Edward Yang,2000,Simon Abrams,US,Freelance film critic,pass,M
Goodbye to Language,Jean-Luc Godard,2014,Simon Abrams,US,Freelance film critic,,M
The White Meadows,Mohammad Rasoulof,2009,Simon Abrams,US,Freelance film critic,,M
Night Across the Street,Raoul Ruiz,2012,Simon Abrams,US,Freelance film critic,,M
Certified Copy,Abbas Kiarostami,2010,Simon Abrams,US,Freelance film critic,pass,M
Sparrow,Johnnie To,2008,Simon Abrams,US,Freelance film critic,nopass,M
Fados,Carlos Saura,2007,Simon Abrams,US,Freelance film critic,,M
In the Mood for Love,Wong Kar-wai,2000,Sam Adams,US,Freelance film critic,pass,M
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Sam Adams,US,Freelance film critic,nopass,M
Syndromes and a Century,Apichatpong Weerasethakul,2006,Sam Adams,US,Freelance film critic,,M
Spirited Away,Hayao Miyazaki,2001,Sam Adams,US,Freelance film critic,pass,M
The Act of Killing,Joshua Oppenheimer,2012,Sam Adams,US,Freelance film critic,,M
The Grand Budapest Hotel,Wes Anderson,2014,Sam Adams,US,Freelance film critic,nopass,M
The New World,Terrence Malick,2004,Sam Adams,US,Freelance film critic,pass,M
Certified Copy,Abbas Kiarostami,2010,Sam Adams,US,Freelance film critic,pass,M
The World,Jia Zhangke,2004,Sam Adams,US,Freelance film critic,,M
Elephant,Gus Van Sant,2003,Sam Adams,US,Freelance film critic,pass,M
Zero Dark Thirty,Kathryn Bigelow,2012,Thelma Adams,US,Freelance film critic,pass,F
A History of Violence,David Cronenberg,2005,Thelma Adams,US,Freelance film critic,pass,M
The Grand Budapest Hotel,Wes Anderson,2014,Thelma Adams,US,Freelance film critic,nopass,M
Stories We Tell,Sarah Polley,2012,Thelma Adams,US,Freelance film critic,pass,F
Casino Royale,Martin Campbell,2006,Thelma Adams,US,Freelance film critic,nopass,M
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Thelma Adams,US,Freelance film critic,nopass,M
Tabu,Miguel Gomes,2012,Thelma Adams,US,Freelance film critic,pass,M
Snow White,Pablo Berger,2012,Thelma Adams,US,Freelance film critic,pass,M
Frozen River,Courtney Hunt,2008,Thelma Adams,US,Freelance film critic,pass,F
Gosford Park,Robert Altman,2001,Thelma Adams,US,Freelance film critic,pass,M
In the Mood for Love,Wong Kar-wai,2000,Arturo Aguilar,Mexico,Rolling Stone Mexico,pass,M
Mulholland Drive,David Lynch,2001,Arturo Aguilar,Mexico,Rolling Stone Mexico,pass,M
Inception,Christopher Nolan,2010,Arturo Aguilar,Mexico,Rolling Stone Mexico,pass,M
Pan's Labyrinth,Guillermo Del Toro,2006,Arturo Aguilar,Mexico,Rolling Stone Mexico,pass,M
Caché,Michael Haneke,2005,Arturo Aguilar,Mexico,Rolling Stone Mexico,pass,M
Grizzly Man,Werner Herzog,2005,Arturo Aguilar,Mexico,Rolling Stone Mexico,,M
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,Arturo Aguilar,Mexico,Rolling Stone Mexico,pass,M
Holy Motors,Leos Carax,2012,Arturo Aguilar,Mexico,Rolling Stone Mexico,nopass,M
The Last of the Unjust,Claude Lanzmann,2013,Arturo Aguilar,Mexico,Rolling Stone Mexico,,M
There Will Be Blood,Paul Thomas Anderson,2007,Arturo Aguilar,Mexico,Rolling Stone Mexico,nopass,M
The Piano Teacher,Michael Haneke,2001,Matthew Anderson,UK,BBC Culture,pass,M
Margaret,Kenneth Lonergan,2011,Matthew Anderson,UK,BBC Culture,pass,M
American Psycho,Mary Harron,2000,Matthew Anderson,UK,BBC Culture,pass,F
"4 Months, 3 Weeks & 2 Days",Cristian Mungiu,2007,Matthew Anderson,UK,BBC Culture,pass,M
Caché,Michael Haneke,2005,Matthew Anderson,UK,BBC Culture,pass,M
Mulholland Drive,David Lynch,2001,Matthew Anderson,UK,BBC Culture,pass,M
Lourdes,Jessica Hausner,2009,Matthew Anderson,UK,BBC Culture,pass,F
Red Road,Andrea Arnold,2006,Matthew Anderson,UK,BBC Culture,pass,F
Boyhood,Richard Linklater,2014,Matthew Anderson,UK,BBC Culture,pass,M
Tony Manero,Pablo Larraín,2008,Matthew Anderson,UK,BBC Culture,,M
No Country For Old Men,Joel and Ethan Coen,2007,Tim Appelo,US,The Wrap,pass,M
Spirited Away,Hayao Miyazaki,2001,Tim Appelo,US,The Wrap,pass,M
A Separation,Asghar Farhadi,2011,Tim Appelo,US,The Wrap,pass,M
Pan's Labyrinth,Guillermo Del Toro,2006,Tim Appelo,US,The Wrap,pass,M
Finding Nemo,Andrew Stanton and Lee Unkrich,2003,Tim Appelo,US,The Wrap,nopass,M
Hero,Zhang Yimou,2002,Tim Appelo,US,The Wrap,,M
The Wolf of Wall Street,Martin Scorsese,2013,Tim Appelo,US,The Wrap,pass,M
Mother,Bong Joon-ho,2009,Tim Appelo,US,The Wrap,,M
The Bourne Ultimatum,Paul Greengrass,2007,Tim Appelo,US,The Wrap,nopass,M
Traffic,Steven Soderbergh,2000,Tim Appelo,US,The Wrap,pass,M
These Encounters of Theirs,Danièle Huillet and Jean-Marie Straub,2006,Adriano Aprà,Italy,Film historian,,Both
Vincere,Marco Bellocchio,2009,Adriano Aprà,Italy,Film historian,,M
Le quattro volte,Michelangelo Frammartino,2010,Adriano Aprà,Italy,Film historian,,M
The Profession of Arms,Ermanno Olmi,2001,Adriano Aprà,Italy,Film historian,,M
Gostanza da Libbiano,Paolo Benvenuti,2000,Adriano Aprà,Italy,Film historian,,M
Storia di una donna amata e di un assassino gentile,Luigi M. Faccini,2009,Adriano Aprà,Italy,Film historian,,M
At the First Breath of Wind,Franco Piavoli,2003,Adriano Aprà,Italy,Film historian,,M
Sangue,Pippo Delbono,2013,Adriano Aprà,Italy,Film historian,,M
Terra,Marco De Angelis and Antonio Di Trapani,2015,Adriano Aprà,Italy,Film historian,,M
Oh! Man,Yervant Gianikian and Angela Ricci Lucchi,2004,Adriano Aprà,Italy,Film historian,,Both
"Synecdoche, New York",Charlie Kaufman,2008,Michael Arbeiter,US,Nerdist,pass,M
Mulholland Drive,David Lynch,2001,Michael Arbeiter,US,Nerdist,pass,M
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Michael Arbeiter,US,Nerdist,nopass,M
Black Swan,Darren Aronofsky,2010,Michael Arbeiter,US,Nerdist,pass,M
The Comedy,Rick Alverson,2012,Michael Arbeiter,US,Nerdist,,M
Melancholia,Lars von Trier,2011,Michael Arbeiter,US,Nerdist,pass,M
Inglourious Basterds,Quentin Tarantino,2009,Michael Arbeiter,US,Nerdist,pass,M
Inside Llewyn Davis,Joel and Ethan Coen,2013,Michael Arbeiter,US,Nerdist,nopass,M
Only Lovers Left Alive,Jim Jarmusch,2013,Michael Arbeiter,US,Nerdist,pass,M
The Congress,Ari Folman,2013,Michael Arbeiter,US,Nerdist,pass,M
The Master,Paul Thomas Anderson,2012,Ali Arikan,Turkey,Dipnot TV,nopass,M
25th Hour,Spike Lee,2002,Ali Arikan,Turkey,Dipnot TV,nopass,M
24 Hour Party People,Michael Winterbottom,2002,Ali Arikan,Turkey,Dipnot TV,nopass,M
Mulholland Drive,David Lynch,2001,Ali Arikan,Turkey,Dipnot TV,pass,M
Once Upon a Time in Anatolia,Nuri Bilge Ceylan,2011,Ali Arikan,Turkey,Dipnot TV,nopass,M
Zodiac,David Fincher,2007,Ali Arikan,Turkey,Dipnot TV,nopass,M
A Serious Man,Joel and Ethan Coen,2009,Ali Arikan,Turkey,Dipnot TV,nopass,M
Tinker Tailor Soldier Spy,Tomas Alfredson,2011,Ali Arikan,Turkey,Dipnot TV,nopass,M
Primer,Shane Carruth,2004,Ali Arikan,Turkey,Dipnot TV,nopass,M
In the Mood for Love,Wong Kar-wai,2000,Ali Arikan,Turkey,Dipnot TV,pass,M
"La commune (Paris, 1871)",Peter Watkins,1871,Michael Atkinson,US,The Village Voice,,M
Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,2010,Michael Atkinson,US,The Village Voice,pass,M
2046,Wong Kar-wai,2004,Michael Atkinson,US,The Village Voice,pass,M
Adaptation,Spike Jonze,2002,Michael Atkinson,US,The Village Voice,pass,M
Battle in Heaven,Carlos Reygadas,2005,Michael Atkinson,US,The Village Voice,,M
Caché,Michael Haneke,2005,Michael Atkinson,US,The Village Voice,pass,M
Inland Empire,David Lynch,2006,Michael Atkinson,US,The Village Voice,pass,M
Mulholland Drive,David Lynch,2001,Michael Atkinson,US,The Village Voice,pass,M
Mysteries of Lisbon,Raoul Ruiz,2010,Michael Atkinson,US,The Village Voice,pass,M
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Michael Atkinson,US,The Village Voice,nopass,M
There Will Be Blood,Paul Thomas Anderson,2007,Ana Maria Bahiana,Brazil,Freelance film critic,nopass,M
Mulholland Drive,David Lynch,2001,Ana Maria Bahiana,Brazil,Freelance film critic,pass,M
Children of Men,Alfonso Cuarón,2006,Ana Maria Bahiana,Brazil,Freelance film critic,pass,M
City of God,Fernando Meirelles and Kátia Lund,2002,Ana Maria Bahiana,Brazil,Freelance film critic,nopass,Both
Pan's Labyrinth,Guillermo Del Toro,2006,Ana Maria Bahiana,Brazil,Freelance film critic,pass,m
Inception,Christopher Nolan,2010,Ana Maria Bahiana,Brazil,Freelance film critic,pass,M
The Incredibles,Brad Bird,2004,Ana Maria Bahiana,Brazil,Freelance film critic,pass,M
Birdman,Alejandro González Iñárritu,2014,Ana Maria Bahiana,Brazil,Freelance film critic,pass,M
No Country For Old Men,Joel and Ethan Coen,2007,Ana Maria Bahiana,Brazil,Freelance film critic,pass,M
Brokeback Mountain,Ang Lee,2005,Ana Maria Bahiana,Brazil,Freelance film critic,nopass,M
In the Mood for Love,Wong Kar-wai,2000,Cameron Bailey,Canada,Toronto Film Festival,pass,M
12 Years a Slave,Steve McQueen,2013,Cameron Bailey,Canada,Toronto Film Festival,pass,M
Spirited Away,Hayao Miyazaki,2001,Cameron Bailey,Canada,Toronto Film Festival,pass,M
Fish Tank,Andrea Arnold,2009,Cameron Bailey,Canada,Toronto Film Festival,pass,F
Mommy,Xavier Dolan,2014,Cameron Bailey,Canada,Toronto Film Festival,pass,M
Talk to Her,Pedro Almodóvar,2002,Cameron Bailey,Canada,Toronto Film Festival,pass,M
Timbuktu,Abderrahmane Sissako,2014,Cameron Bailey,Canada,Toronto Film Festival,nopass,M
Selma,Ava DuVernay,2014,Cameron Bailey,Canada,Toronto Film Festival,pass,F
The White Ribbon,Michael Haneke,2009,Cameron Bailey,Canada,Toronto Film Festival,pass,M
The Headless Woman,Lucrecia Martel,2008,Cameron Bailey,Canada,Toronto Film Festival,pass,F
The Royal Tenenbaums,Wes Anderson,2001,Lindsay Baker,UK,BBC Culture,pass,M
Far From Heaven,Todd Haynes,2002,Lindsay Baker,UK,BBC Culture,pass,M
Moonrise Kingdom,Wes Anderson,2012,Lindsay Baker,UK,BBC Culture,pass,M
Lost in Translation,Sofia Coppola,2003,Lindsay Baker,UK,BBC Culture,pass,F
A Single Man,Tom Ford,2009,Lindsay Baker,UK,BBC Culture,nopass,M
Spirited Away,Hayao Miyazaki,2001,Lindsay Baker,UK,BBC Culture,pass,M
Toy Story 3,Lee Unkrich,2010,Lindsay Baker,UK,BBC Culture,pass,M
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Lindsay Baker,UK,BBC Culture,nopass,M
I Am Love,Luca Guadagnino,2009,Lindsay Baker,UK,BBC Culture,pass,M
Donnie Darko,Richard Kelly,2001,Lindsay Baker,UK,BBC Culture,pass,M
Inherent Vice,Paul Thomas Anderson,2014,Miriam Bale,US,Freelance film critic,nopass,M
Film socialisme,Jean-Luc Godard,2010,Miriam Bale,US,Freelance film critic,,M
A History of Violence,David Cronenberg,2005,Miriam Bale,US,Freelance film critic,pass,M
This Is the End,Evan Goldberg and Seth Rogen,2013,Miriam Bale,US,Freelance film critic,nopass,M
Somewhere,Sofia Coppola,2010,Miriam Bale,US,Freelance film critic,pass,F
Holy Motors,Leos Carax,2012,Miriam Bale,US,Freelance film critic,nopass,M
Almayer's Folly,Chantal Akerman,2011,Miriam Bale,US,Freelance film critic,,F
Inside Llewyn Davis,Joel and Ethan Coen,2013,Miriam Bale,US,Freelance film critic,nopass,M
The Story of Marie and Julien,Jacques Rivette,2003,Miriam Bale,US,Freelance film critic,,M
Bamboozled,Spike Lee,2000,Miriam Bale,US,Freelance film critic,,M
Boyhood,Richard Linklater,2014,Nicholas Barber,UK,BBC Culture,pass,M
Under the Skin,Jonathan Glazer,2013,Nicholas Barber,UK,BBC Culture,nopass,M
Anomalisa,Duke Johnson and Charlie Kaufman,2015,Nicholas Barber,UK,BBC Culture,nopass,M
12 Years a Slave,Steve McQueen,2013,Nicholas Barber,UK,BBC Culture,pass,M
Madagascar 3: Europe's Most Wanted,"Eric Darnell, Tom McGrath and Conrad Vernon",2012,Nicholas Barber,UK,BBC Culture,nopass,M
Another Year,Mike Leigh,2010,Nicholas Barber,UK,BBC Culture,pass,M
The Diving Bell and the Butterfly,Julian Schnabel,2007,Nicholas Barber,UK,BBC Culture,nopass,M
Children of Men,Alfonso Cuarón,2006,Nicholas Barber,UK,BBC Culture,pass,M
The Social Network,David Fincher,2010,Nicholas Barber,UK,BBC Culture,nopass,M
A Separation,Asghar Farhadi,2011,Nicholas Barber,UK,BBC Culture,pass,M
WALL-E,Andrew Stanton,2008,Diego Batlle,Argentina,La Nacion,nopass,M
In the Mood for Love,Wong Kar-wai,2000,Diego Batlle,Argentina,La Nacion,pass,M
Spirited Away,Hayao Miyazaki,2001,Diego Batlle,Argentina,La Nacion,pass,M
Boyhood,Richard Linklater,2014,Diego Batlle,Argentina,La Nacion,pass,M
The Son's Room,Nanni Moretti,2001,Diego Batlle,Argentina,La Nacion,,M
Extraordinary Stories,Mariano Llinás,2008,Diego Batlle,Argentina,La Nacion,,M
Mulholland Drive,David Lynch,2001,Diego Batlle,Argentina,La Nacion,pass,M
The Social Network,David Fincher,2010,Diego Batlle,Argentina,La Nacion,nopass,M
Elephant,Gus Van Sant,2003,Diego Batlle,Argentina,La Nacion,pass,M
Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,2010,Diego Batlle,Argentina,La Nacion,pass,M
Mulholland Drive,David Lynch,2001,NT Binh,France,Positif,pass,M
Talk to Her,Pedro Almodóvar,2002,NT Binh,France,Positif,pass,M
The Assassin,Hou Hsiao-hsien,2015,NT Binh,France,Positif,nopass,M
Million Dollar Baby,Clint Eastwood,2004,NT Binh,France,Positif,pass,M
In the Mood for Love,Wong Kar-wai,2000,NT Binh,France,Positif,pass,M
Leviathan,Andrey Zvyagintsev,2014,NT Binh,France,Positif,pass,M
A Touch of Sin,Jia Zhangke,2013,NT Binh,France,Positif,,M
Distant,Nuri Bilge Ceylan,2002,NT Binh,France,Positif,,M
The New World,Terrence Malick,2005,NT Binh,France,Positif,pass,M
A Prophet,Jacques Audiard,2009,NT Binh,France,Positif,nopass,M
Timbuktu,Abderrahmane Sissako,2014,Lizelle Bisschoff,UK,University of Glasgow,nopass,M
Blue Is the Warmest Color,Abdellatif Kechiche,2013,Lizelle Bisschoff,UK,University of Glasgow,pass,M
Moolaadé,Ousmane Sembèène,2004,Lizelle Bisschoff,UK,University of Glasgow,,M
A Separation,Asghar Farhadi,2011,Lizelle Bisschoff,UK,University of Glasgow,pass,M
The Secret in Their Eyes,Juan José Campanella,2009,Lizelle Bisschoff,UK,University of Glasgow,nopass,M
Oldboy,Park Chan-wook,2003,Lizelle Bisschoff,UK,University of Glasgow,nopass,M
In the Mood for Love,Wong Kar-wai,2000,Lizelle Bisschoff,UK,University of Glasgow,pass,M
Fat Girl,Catherine Breillat,2001,Lizelle Bisschoff,UK,University of Glasgow,pass,F
The Orphanage,J. A. Bayona,2007,Lizelle Bisschoff,UK,University of Glasgow,pass,M
The Hunt,Thomas Vinterberg,2012,Lizelle Bisschoff,UK,University of Glasgow,,M
Spring Breakers,Harmony Korine,2012,Christian Blauvelt,US,BBC Culture,pass,M
