movie,director,movie_year,critic,critic_country,critic_org,Bechdel_test,director_gender
Mulholland Drive,David Lynch,2001,Simon Abrams,US,Freelance film critic,,M
In the Mood for Love,Wong Kar-wai,2000,Simon Abrams,US,Freelance film critic,,M
The Tree of Life,Terrence Malick,2011,Simon Abrams,US,Freelance film critic,nopass,M
Yi Yi: A One and a Two,Edward Yang,2000,Simon Abrams,US,Freelance film critic,,M
Goodbye to Language,Jean-Luc Godard,2014,Simon Abrams,US,Freelance film critic,,M
The White Meadows,Mohammad Rasoulof,2009,Simon Abrams,US,Freelance film critic,,
Night Across the Street,Raoul Ruiz,2012,Simon Abrams,US,Freelance film critic,,
Certified Copy,Abbas Kiarostami,2010,Simon Abrams,US,Freelance film critic,pass,M
Sparrow,Johnnie To,2008,Simon Abrams,US,Freelance film critic,nopass,M
Fados,Carlos Saura,2007,Simon Abrams,US,Freelance film critic,,
In the Mood for Love,Wong Kar-wai,2000,Sam Adams,US,Freelance film critic,,M
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Sam Adams,US,Freelance film critic,nopass,M
Syndromes and a Century,Apichatpong Weerasethakul,2006,Sam Adams,US,Freelance film critic,,M
Spirited Away,Hayao Miyazaki,2001,Sam Adams,US,Freelance film critic,pass,M
The Act of Killing,Joshua Oppenheimer,2012,Sam Adams,US,Freelance film critic,,
The Grand Budapest Hotel,Wes Anderson,2014,Sam Adams,US,Freelance film critic,nopass,M
The New World,Terrence Malick,2004,Sam Adams,US,Freelance film critic,pass,M
Certified Copy,Abbas Kiarostami,2010,Sam Adams,US,Freelance film critic,pass,M
The World,Jia Zhangke,2004,Sam Adams,US,Freelance film critic,,
Elephant,Gus Van Sant,2003,Sam Adams,US,Freelance film critic,pass,M
Zero Dark Thirty,Kathryn Bigelow,2012,Thelma Adams,US,Freelance film critic,pass,F
A History of Violence,David Cronenberg,2005,Thelma Adams,US,Freelance film critic,pass,M
The Grand Budapest Hotel,Wes Anderson,2014,Thelma Adams,US,Freelance film critic,nopass,M
Stories We Tell,Sarah Polley,2012,Thelma Adams,US,Freelance film critic,pass,
Casino Royale,Martin Campbell,2006,Thelma Adams,US,Freelance film critic,nopass,M
Eternal Sunshine of the Spotless Mind,Michel Gondry,2004,Thelma Adams,US,Freelance film critic,nopass,M
Tabu,Miguel Gomes,2012,Thelma Adams,US,Freelance film critic,pass,
Snow White,Pablo Berger,2012,Thelma Adams,US,Freelance film critic,pass,
