director,director_gender
Clint Eastwood,M
Martin Scorsese,M
Paul Thomas Anderson,M
David Fincher,M
Joel and Ethan Coen,M
David Lynch,M
Christopher Nolan,M
Alexander Payne,M
Michael Haneke,M
Steven Spielberg,M
Roman Polanski,M
Peter Jackson,M
Ang Lee,M
Quentin Tarantino,M
Darren Aronofsky,M
David Cronenberg,M
Ridley Scott,M
Lars von Trier,M
Mike Leigh,M
Pedro Almodóvar,M
James Cameron,M
Steven Soderbergh,M
Danny Boyle,M
Gus Van Sant,M
Stephen Frears,M
Alejandro González Iñárritu,M
Woody Allen,M
Werner Herzog,M
Wong Kar-wai,M
Wes Anderson,M
David O. Russell,M
Hayao Miyazaki,M
Yimou Zhang,M
Bennett Miller,M
Todd Field,M
Jean-Pierre Dardenne,M
Fernando Meirelles,M
Alfonso Cuarón,M
Spike Jonze,M
Terrence Malick,M
Kathryn Bigelow,F
Paul Greengrass,M
Steve McQueen,M
Mel Gibson,M
Hou Hsiao-hsien,M
Stephen Daldry,M
Guillermo del Toro,M
Tim Burton,M
Park Chan-Wook,M
Paul Haggis,M
Jason Reitman,M
Sam Mendes,M
Richard Linklater,M
Ken Loach,M
Edward Yang,M
Aki Kaurismäki,M
Jafar Panahi,M
Todd Haynes,M
Abbas Kiarostami,M
James Mangold,M
Juan José Campanella,M
Edward Zwick,M
Julian Schnabel,M
Edgar Wright,M
George Clooney,M
Lasse Hallström,M
Peter Weir,M
Alejandro Amenábar,M
Nicolas Winding Refn,M
Marc Forster,M
Tom Hooper,M
Lee Unkrich,M
Jean-Pierre Jeunet,M
Béla Tarr,M
Robert Altman,M
Anthony Minghella,M
Takashi Miike,M
Taylor Hackford,M
Kim Ki-duk,M
Bong Joon Ho,M
Tomas Alfredson,M
Michel Hazanavicius,M
Noah Baumbach,M
Jacques Audiard,M
Florian Henckel von Donnersmarck,M
Michel Gondry,M
Brad Anderson,M
Andrew Stanton,M
Roger Donaldson,M
Jee-woon Kim,M
Andrzej Wajda,M
Takeshi Kitano,M
Jim Jarmusch,M
Ron Howard,M
Joe Wright,M
Ed Harris,M
Derek Cianfrance,M
Martin McDonagh,M
Wim Wenders,M
Walter Salles,M
Ben Affleck,M
Aleksandr Sokurov,M
Brad Bird,M
Terence Davies,M
Tsai Ming-liang,M
Claire Denis,F
Roy Andersson,M
Sofia Coppola,F
Lucrecia Martel,F
Asghar Farhadi,M
Tom McCarthy,M
Duncan Jones,M
Rian Johnson,M
Neill Blomkamp,M
Spike Lee,M
Cameron Crowe,M
Neil Jordan,M
Jane Campion,F
Claude Chabrol,M
Robert Rodriguez,M
Guy Maddin,M
Sam Raimi,M
Olivier Assayas,M
Fatih Akin,M
Agnès Varda,F
Debra Granik,F
Michael Winterbottom,M
Gaspar Noé,M
Todd Solondz,M
Terry Zwigoff,M
Michael Mann,M
Jim Sheridan,M
Rob Marshall,M
Zack Snyder,M
Matthew Vaughn,M
Sean Penn,M
Guy Ritchie,M
J.J. Abrams,M
Robert Zemeckis,M
Sidney Lumet,M
Wolfgang Petersen,M
Judd Apatow,M
Mike Nichols,M
Oliver Stone,M
Tony Scott,M
Jonathan Demme,M
Lone Scherfig,F
Jean-Luc Godard,M
Ted Demme,M
Kevin Smith,M
Larry Clark,M
Tom Tykwer,M
Giuseppe Tornatore,M
John Sayles,M
István Szabó,M
Agnieszka Holland,F
Majid Majidi,M
Theodoros Angelopoulos,M
Nanni Moretti,M
Mira Nair,F
Julie Taymor,F
Andrew Lau,M
Tate Taylor,M
Anders Thomas Jensen,M
Gore Verbinski,M
Phillip Noyce,M
Bryan Singer,M
Rupert Wyatt,M
Richard Kelly,M
Bille August,M
David Gordon Green,M
Antoine Fuqua,M
Kinji Fukasaku,M
Lukas Moodysson,M
George Lucas,M
John Boorman,M
John Madden,M
George Miller,M
John Lasseter,M
François Ozon,M
Cary Joji Fukunaga,M
Neil Marshall,M
Errol Morris,M
Kelly Reichardt,M
Tom Ford,M
Lee Daniels,M
Denis Villeneuve,M
James McTeigue,M
Ousmane Sembene,M
Baz Luhrmann,M
Bill Condon,M
Lucas Belvaux,M
Adrian Lyne,M
Jon Favreau,M
Adam McKay,M
Nancy Meyers,F
Frank Oz,M
Doug Liman,M
William Friedkin,M
Bruce Beresford,M
Curtis Hanson,M
Frank Darabont,M
Wes Craven,M
Kenneth Branagh,M
John Singleton,M
M. Night Shyamalan,M
Emir Kusturica,M
Harold Ramis,M
Rob Reiner,M
Michael Bay,M
Lawrence Kasdan,M
Barry Levinson,M
Michael Apted,M
Jerzy Skolimowski,M
John Woo,M
Terry Gilliam,M
Brian De Palma,M
Robert Redford,M
Francis Ford Coppola,M
Costa-Gavras,M
Andrew Niccol,M
Greg Mottola,M
F. Gary Gray,M
Joel Schumacher,M
Rolf de Heer,M
Denys Arcand,M
Gillian Armstrong,F
Norman Jewison,M
Bernardo Bertolucci,M
Éric Rohmer,M
Chantal Akerman,F
Atom Egoyan,M
Bertrand Tavernier,M
Thomas Vinterberg,M
Tom DiCillo,M
Shin'ya Tsukamoto,M
Robert Lepage,M
Gregg Araki,M
Dagur Kári,M
Mohsen Makhmalbaf,M
Friðrik Þór Friðriksson,M
Vincent Ward,M
Hal Hartley,M
Mamoru Oshii,M
Catherine Breillat,F
Manoel de Oliveira,M
Kiyoshi Kurosawa,M
Patrice Leconte,M
Jirí Menzel,M
Jan Svankmajer,M
Dario Argento,M
Peter Farrelly,M
Nicholas Stoller,M
Eli Roth,M
Andrew Davis,M
Nick Broomfield,M
Paul Schrader,M
Tarsem Singh,M
Lilly Wachowski,F
Hideo Nakata,M
Marleen Gorris,F
Zhangke Jia,M
Nick Park,M
Peter Berg,M
Scott Frank,M
Kevin Costner,M
Brett Ratner,M
Chris Columbus,M
Miguel Arteta,M
Miranda July,F
Todd Phillips,M
Garry Marshall,M
Ram Gopal Varma,M
Tom Kalin,M
Larry Charles,M
André Téchiné,M
Marco Bellocchio,M
Ramin Bahrani,M
Jean-Jacques Annaud,M
Steve Buscemi,M
Jake Kasdan,M
Sally Potter,F
Walter Hill,M
Apichatpong Weerasethakul,M
Arnaud Desplechin,M
Terry George,M
Mike Mills,M
Simon Curtis,M
Jonathan Levine,M
Sean Durkin,M
Rob Zombie,M
Phyllida Lloyd,F
Billy Bob Thornton,M
Monte Hellman,M
Volker Schlöndorff,M
Bertrand Blier,M
Jacques Rivette,M
Claude Lelouch,M
Francis Veber,M
Paul Cox,M
Ross McElwee,M
Aleksey Balabanov,M
Kwon-taek Im,M
Peter Watkins,M
Roland Joffé,M
Tobe Hooper,M
Amos Gitai,M
Ivan Passer,M
Liliana Cavani,F
Yash Chopra,M
Carroll Ballard,M
Gianni Amelio,M
Shohei Imamura,M
Seijun Suzuki,M
Jon Amiel,M
Margarethe von Trotta,F
John McTiernan,M
Robert Pulcini,M
Kenneth Lonergan,M
Michael Moore,M
Anurag Kashyap,M
Sanjay Leela Bhansali,M
Ashutosh Gowariker,M
Johnnie To,M
Rodrigo García,M
Lynne Ramsay,F
David Yates,M
Jeff Nichols,M
Oren Moverman,M
Gavin O'Connor,M
James Marsh,M
James Gray,M
Martin Campbell,M
Kevin Macdonald,M
Jonathan Dayton,M
Yorgos Lanthimos,M
Ryan Coogler,M
Destin Daniel Cretton,M
