director,director_gender
Lisa Cholodenko,F
Joanna Hogg,F
Sofia Coppola,F
Márta Mészáros,F
Chantal Akerman,F
Maya Deren,F
Chantal Akerman,F
Andrea Arnold,F
Julia Ducournau,F
Claire Denis,F
Amy Heckerling,F
Agnès Varda,F
Moufida Tlatli,F
Claire Denis,F
Haifaa Al-Mansour,F
Agnès Varda,F
Shirley Clarke,F
Nora Ephron,F
Maya Deren,F
Ana Lily Amirpour,F
Penny Marshall,F
Lois Weber,F
Samira Makhmalbaf,F
Céline Sciamma,F
Céline Sciamma,F
Kelly Reichardt,F
Claire Denis,F
Ildikó Enyedi,F
Agnieszka Holland,F
Germaine Dulac,F
Niki Caro,F
Shirley Clarke,F
Kasi Lemmons,F
Margarethe von Trotta,F
Lynne Ramsay,F
Debra Granik,F
Chloe Zhao,F
Sofia Coppola,F
Kathryn Bigelow,F
Marguerite Duras,F
Penny Marshall,F
Kira Muratova,F
Susan Seidelman,F
Jennifer Kent,F
Ava DuVernay,F
Patty Jenkins,F
Jane Campion,F
Lucrecia Martel,F
Alice Rohrwacher,F
Barbara Kopple,F
Ida Lupino,F
Mira Nair,F
Kira Muratova,F
Jane Campion,F
Kathryn Bigelow,F
Leni Riefenstahl,F
Andrea Arnold,F
Sofia Coppola,F
Lotte Reiniger,F
Nadine Labaki,F
Kimberly Peirce,F
Céline Sciamma,F
Jennie Livingston,F
Leni Riefenstahl,F
Kelly Reichardt,F
Lana and Lilly Wachowski,F
Lynne Ramsay,F
Lynne Ramsay,F
Liliana Cavani,F
Agnès Varda,F
Lucrecia Martel,F
Mira Nair,F
Agnès Varda,F
Ava DuVernay,F
Sarah Polley,F
Forugh Farrokhzad,F
Greta Gerwig,F
Ida Lupino,F
Lynne Ramsay,F
Debra Granik,F
Amy Heckerling,F
Sally Potter,F
Mary Harron,F
Lina Wertmüller,F
Barbara Loden,F
Lucrecia Martel,F
Kathryn Bigelow,F
Agnès Varda,F
Kathryn Bigelow,F
Larisa Shepitko,F
Julie Dash,F
Andrea Arnold,F
Maren Ade,F
Kathryn Bigelow,F
Věra Chytilová,F
Sofia Coppola,F
Claire Denis,F
Chantal Akerman,F
Agnès Varda,F
Jane Campion,F
