movie,Bechdel_test
Death Race 2050,pass
Deidra & Laney Rob a Train,pass
Descendants 2,pass
Despicable Me 3,pass
Detroit,nopass
Diary of a Wimpy Kid: The Long Haul,nopass
Dim the Fluorescents,pass
The Dinner,pass
The Disaster Artist,pass
Disco,pass
The Discovery,pass
Disobedience,pass
Djam,pass
Downsizing,nopass
Dunkirk,nopass
El Camino Christmas,nopass
El libro de Lila,pass
Embrasse-moi!,pass
The Emoji Movie,nopass
The Endless,nopass
The Escape,pass
Euphoria,pass
"Everything, Everything",pass
The Fate of the Furious,pass
Felicite,pass
The Female Brain,pass
Ferdinand,pass
Fifty Shades Darker,pass
First Reformed,nopass
Fist Fight,pass
The Florida Project,pass
Flower,pass
For Here or To Go?,pass
The Foreigner,nopass
Fun Mom Dinner,pass
Gekijoban Fairy Tail: Dragon Cry,pass
Gemini,pass
Geostorm,pass
Gerald's Game,pass
Get My Gun,pass
Get Out,pass
Ghost in the Shell,pass
Ghost Stories,nopass
Gifted,pass
Girls Trip,pass
The Glass Castle,pass
God's Own Country,nopass
Godard Mon Amour,nopass
Going In Style,nopass
Good Time,pass
Goon: Last of the Enforcers,nopass
The Greatest Showman,pass
Guardians of the Galaxy Vol. 2,pass
Happy Death Day,pass
The Hitman's Bodyguard,pass
Home Again,pass
Hostiles,pass
How to Be a Latin Lover,nopass
I Can Speak,pass
I Don't Feel at Home in This World Anymore,pass
I Kill Giants,pass
"I, Tonya",pass
Il demone di Laplace,nopass
The Incredible Jessica James,pass
Ingrid Goes West,pass
Innan vi dor,pass
It,pass
It Comes at Night,pass
"Jesus, Bro!",nopass
Jigsaw,pass
John Wick: Chapter 2,nopass
Jumanji: Welcome to the Jungle,pass
Jusqu'a la garde (Custody),pass
Justice League,pass
Karera ga honki de amu toki wa (Close Knit),pass
Kidnap,pass
The Killing of a Sacred Deer,pass
King Arthur,nopass
Kingsman: The Golden Circle,nopass
Kong: Skull Island,nopass
La llamada,pass
Lady Bird,pass
Landline,pass
The Last Word,pass
Lean on Pete,nopass
The Lears,pass
The LEGO Batman Movie,pass
Life,pass
The Little Hours,pass
Logan,pass
Logan Lucky,pass
Loving Vincent,nopass
Lucky,nopass
The Mad Ones,pass
The Man with the Iron Heart,nopass
Mark Felt: The Man Who Brought Down the White House,nopass
Marshall,nopass
Mary and The Witch's Flower,pass
Mary Shelley,pass
Maximilian,nopass
Mayhem,pass
Megan Leavy,pass
The Meyerowitz Stories (new and selected),nopass
MFKZ,nopass
The Midwife,pass
Molly's Game,pass
Mom and Dad,pass
Monster High: Electrified,pass
Mother!,nopass
The Mountain Between Us,pass
Mr. Roosevelt,pass
Mudbound,pass
The Mummy,nopass
Murder on the Orient Express,pass
My Cousin Rachel,pass
My Friend Dahmer,nopass
My Little Pony: The Movie,pass
Naked,nopass
Nogemu noraifu: Zero,pass
Novitiate,nopass
The Nut Job 2: Nutty By Nature,pass
Okja,pass
OM+ME,pass
On Body and Soul,pass
The Only Living Boy in New York,nopass
Only the Brave,nopass
OtherLife,nopass
Paddington 2,pass
Petit paysan,nopass
Phantom Thread,pass
Pilgrimage,nopass
Pirates of the Caribbean: Dead Men Tell No Tales,nopass
Pitch Perfect 3,pass
Plasmatic Day,nopass
Pokemon the Movie: I Choose You!,pass
Posoki (Directions),nopass
The Post,pass
Power Rangers,pass
Princess Cyd,pass
Professor Marston and the Wonder Women,pass
Psych: The Movie,pass
The Punisher,pass
Revelator,pass
Revenge,nopass
Rings,nopass
The Ritual,nopass
"Roman J. Israel, Esq.",pass
Rough Night,pass
Sand Castle,nopass
Seagull,pass
Secret Superstar,pass
seven sisters,pass
The Shack,pass
The Shape of Water,pass
Sharknado 5: Global Swarming,pass
Shelter,pass
Signature Move,pass
Singwa hamgge,nopass
Snatched,pass
The Space Between Us,pass
Spider-Man: Homecoming,pass
The Square,nopass
Star Wars: The Last Jedi,pass
Stephanie,pass
Sun Dogs,nopass
Sweet Virginia,pass
T2 Trainspotting,pass
Table 19,pass
That's Not Me,pass
Thelma,pass
Thor: Ragnarok,nopass
Thoroughbreds,pass
"Three Billboards Outside Ebbing, Missouri",pass
