properties.name,properties.article,properties.headline,properties.color
Australia,<div id='movie'><h1><b>Top Movies by Female Directors</b></h1><P>The Babadook (2014) by Jennifer Kent: 1 vote</p><p> A Vingança de Uma Mulher (2012) by Rita Azevedo Gomes: 1 vote</P></div>,<div id='test_result'><h2><b>How many did pass the Bechdel test?</b></h2><P>2 movies passed</P></div>,#FF6699
Austria,<div id='movie'><h1><b>Top Movies by Female Directors</b></h1><P>The Holy Girl (2004) by Lucrecia Martel: 1 vote</p><p> Toni Erdmann (2016) by Maren Ade: 1 vote</p><p> Longing (2006) by Valeska Grisebach: 1 vote</P></div>,<div id='test_result'><h2><b>How many did pass the Bechdel test?</b></h2><P>2 movies passed</p><p> 1 movie unknown</P></div>,#AA6666
Brazil,<div id='movie'><h1><b>Top Movies by Female Directors</b></h1><P>City of God (2002) by Fernando Meirelles and Kátia Lund: 1 vote</P></div>,<div id='test_result'><h2><b>How many did pass the Bechdel test?</b></h2><P>1 movie didn't pass</P></div>,#AA4499
Canada,<div id='movie'><h1><b>Top Movies by Female Directors</b></h1><P>Fish Tank (2009) by Andrea Arnold: 1 vote</p><p> Selma (2014) by Ava DuVernay: 1 vote</p><p> 35 Shots of Rum (2008) by Claire Denis: 1 vote</p><p> Bright Star (2009) by Jane Campion: 1 vote</p><p> The Headless Woman (2008) by Lucrecia Martel: 1 vote</p><p> The Forest for the Trees (2003) by Maren Ade: 1 vote</P></div>,<div id='test_result'><h2><b>How many did pass the Bechdel test?</b></h2><P>6 movies passed</P></div>,#BB7799
China,<div id='movie'><h1><b>Top Movies by Female Directors</b></h1><P>City of God (2002) by Fernando Meirelles and Kátia Lund: 1 vote</P></div>,<div id='test_result'><h2><b>How many did pass the Bechdel test?</b></h2><P>1 movie didn't pass</P></div>,#FF5577
Colombia,<div id='movie'><h1><b>Top Movies by Female Directors</b></h1><P>The Gleaners and I (2000) by Agnès Varda: 1 vote</p><p> The Headless Woman (2008) by Lucrecia Martel: 1 vote</p><p> Stories We Tell (2012) by Sarah Polley: 1 vote</P></div>,<div id='test_result'><h2><b>How many did pass the Bechdel test?</b></h2><P>3 movies passed</P></div>,#AA6633
Cuba,<div id='movie'><h1><b>Top Movies by Female Directors</b></h1><P>Werckmeister Harmonies (2000) by Béla Tarr and Ágnes Hranitzky: 1 vote</p><p> City of God (2002) by Fernando Meirelles and Kátia Lund: 1 vote</p><p> The Hurt Locker (2008) by Kathryn Bigelow: 1 vote</P></div>,<div id='test_result'><h2><b>How many did pass the Bechdel test?</b></h2><P>2 movies didn't pass</p><p> 1 movie unknown</P></div>,#CC6699
Egypt,<div id='movie'><h1><b>Top Movies by Female Directors</b></h1><P>Archipelago (2010) by Joanna Hogg: 1 vote</p><p> The Headless Woman (2008) by Lucrecia Martel: 1 vote</P></div>,<div id='test_result'><h2><b>How many did pass the Bechdel test?</b></h2><P>1 movie passed</p><p> 1 movie unknown</P></div>,#CC7788
France,<div id='movie'><h1><b>Top Movies by Female Directors</b></h1><P>The Turin Horse (2011) by Béla Tarr and Ágnes Hranitzky: 1 vote</p><p> The Captive (2000) by Chantal Akerman: 1 vote</p><p> Shara (2003) by Naomi Kawase: 1 vote</P></div>,<div id='test_result'><h2><b>How many did pass the Bechdel test?</b></h2><P>1 movie didn't pass</p><p> 1 movie passed</p><p> 1 movie unknown</P></div>,#CC0077
Germany,<div id='movie'><h1><b>Top Movies by Female Directors</b></h1><P>Werckmeister Harmonies (2000) by Béla Tarr and Ágnes Hranitzky: 1 vote</p><p> Fish Tank (2009) by Andrea Arnold: 1 vote</p><p> White Material (2009) by Claire Denis: 1 vote</p><p> Winter's Bone (2010) by Debra Granik: 1 vote</p><p> The Hurt Locker (2008) by Kathryn Bigelow: 1 vote</p><p> Toni Erdmann (2016) by Maren Ade: 1 vote</p><p> Stories We Tell (2012) by Sarah Polley: 1 vote</P></div>,<div id='test_result'><h2><b>How many did pass the Bechdel test?</b></h2><P>5 movies passed</p><p> 1 movie didn't pass</p><p> 1 movie unknown</P></div>,#BB7700
